Publisher;Observer;FocusTaxaTorF;datasetKey;;;;;;;;;
"Données photographiques validées de la galerie du forum ""Le Monde des Insectes""";1*;F;54facf62-bf0c-43e7-9972-4fdc407fa6c5;;;;;;;;;
Invertebrate Common Standards Monitoring and ISIS Test Data;3;F;e2413993-3e6c-4519-abe5-02b75cb645c6;;;;;;;;;
River macroinvertebrate data for 2005 and 2006;3;T;98af357b-541e-4f16-b35c-8ca68767be99;;;;;;;;;
Butterfly monitoring scheme in Flanders, Belgium;3;T;81b909c7-5612-4148-8e70-99fea2cdb572;;;;;;;;;
Monarch Watch;2;T;cf7d6c01-309b-4545-8319-3d53b1e8bfd0;;;;;;;;;
CEDaR Online Recording;1;F;84f58d09-add5-469b-af6e-f3522a8dac7d;;;;;;;;;
Rotherham Biological Records Centre - Non-sensitive Records from all taxonomic groups;2;F;a99ca3c9-7448-4bf6-aba5-0ef61b01232c;;;;;;;;;
"The Danish Environmental Portal, species and habitats-database ""Danmarks Miljøportals Naturdatabase"": staatliche Behörden etc.";2;F;67fabcac-a638-40a6-9bea-aeca8aced9f1;;;;;;;;;
Atlas des rhopalocères du Nord et du Pas-de-Calais;1;T;af0dade1-e3c0-4682-8ca5-de368cfeff1d;;;;;;;;;
Wild bees of Belgium;2;T;0d7c6a1a-0aab-47dc-8256-f23fefac69cd;;;;;;;;;
Monitoring data from the federal state North Rhine-Westphalia (Germany);3;T;b5192815-5e90-45b4-a17d-62856a3ead51;;;;;;;;;
Leicestershire and Rutland Environmental Records Centre records 2000-2009;2;F;3965d122-ad7d-463e-90be-7eaa006bea18;;;;;;;;;
Carabidae records for Britain to 2014;3;T;0a02b3dc-3cea-4efe-96b7-1d349985805b;;;;;;;;;
Bob Merritt Coleoptera Dataset;3;T;559204c2-814a-4756-92b5-9dec6f0a1936;;;;;;;;;
Carnet B Lorraine;2;F;d3130e9c-8587-4545-baea-6e72876bb50c;;;;;;;;;
Shieldbug & allied species records, from iRecord;2;T;ad07ac5e-718d-40cc-8093-b61169b745ef;;;;;;;;;
Jeux de données provenant de l'ATBI Mercantour;2;F;2e409ff6-7714-417e-89ef-678207f66071;;;;;;;;;
Fauna Atlas N.T.;3;F;358fbd61-739f-4102-afc9-9d468f571e4d;;;;;;;;;
Diversidad de hormigas en ambientes urbanos de la ciudad de Santa Marta;3;T;b56fbfec-cf01-458a-b772-2df2c8403201;;;;;;;;;
Argyll Biological Records Dataset;2;F;1c736f5f-18d4-40d3-b25a-ec9d3c3500c7;;;;;;;;;
Soldierflies and Allies Recording Scheme - data verified via iRecord;2;T;1a20c977-7365-49d2-8100-5978d4e52234;;;;;;;;;
Insects, Outer Hebrides;2;F;5180805a-a528-40ea-a03b-4911ef4e4ef6;;;;;;;;;
LERN Records;2;F;b7cd5ad0-f65a-4de1-a1bb-318cf5ae12f8;;;;;;;;;
National Stag Beetle Surveys (Great Stag Hunts);1;T;aa734892-b053-4ac2-9b3e-243c347ae481;;;;;;;;;
Miscellaneous records held on the Cofnod database;2;F;3dc2a7f6-8d3a-4228-a69c-ec795028fe2f;;;;;;;;;
PROSERPINE_2017_12_18;NA;NA;a22a33ca-9f57-49ce-879b-c547a524a733;;;;;;;;;
Irish Butterfly Monitoring Scheme;1;T;18cd7e06-40e8-49da-919f-66e553dda347;;;;;;;;;
Données naturalistes de Monsieur François FOURNIER;3;F;f2e0d85b-8f0e-4045-b97e-66e5a837696c;;;;;;;;;
Data collected on citizen science web portal www.ornitho.cat;1;T;f3278405-0943-41a0-9f04-3a7733ec344d;;;;;;;;;
Threatened species occurrences, Denmark 1991-2015;3;T;9beef4fb-e3dd-475a-be95-45d2105b32bd;;;;;;;;;
Water Beetle Surveys from Britain and Ireland;2;T;4f174243-a6e2-4ab3-99cb-129d2a6267e7;;;;;;;;;
Monitoreo Ambiental del Proyecto La Colosa;3;T;9cc67633-537a-4acc-8d37-92feeaddb2cd;;;;;;;;;
Yorkshire Wildlife Trust - Non-sensitive records from all taxonomic groups;2;F;68ad7ec2-0f89-4d32-9ad2-650c88899eb8;;;;;;;;;
Belgian Coccinellidae - Ladybird beetles in Belgium;2;T;42319b8f-9b9d-448d-969f-656792a69176;;;;;;;;;
Estonian Nature Observations Database;1;F;c6bbb6ef-ad16-4f3c-99e2-f693760173e0;;;;;;;;;
Microlepidoptera of Glamorgan;3;T;d575bb70-0830-43b6-8974-6f25529fc26f;;;;;;;;;
Données faune, flore et fonge du Conservatoire des espaces naturels de Picardie;3;F;147834a9-fbff-4357-b8b8-e755c62df2ce;;;;;;;;;
BioFokus;3;F;2e4cc37b-302e-4f1b-bbbb-1f674ff90e14;;;;;;;;;
An 'as-complete-as-possible' Sussex Beetle Records dataset covering the period to March 2017;2;T;8a6ca920-216c-4731-a892-f5132570d9ad;;;;;;;;;
Atlas of the dragonflies and damselflies of West and Central Asia;NA;T;17298ce5-235a-4da7-ae6f-bd6cd26282ab;;;;;;;;;
RHS lily beetle (Lilioceris lilii) monitoring;2;T;17ea10b4-1ef2-42ba-9cb1-b38937dd15b9;;;;;;;;;
India Biodiversity Portal publication grade dataset;1;F;c6b86c40-ff71-4e5e-902c-111f400d0d56;;;;;;;;;
"Cranefly (Diptera; Tipuloidea) records for Britain to 2016";1;T;86ade71a-3894-4f17-bcde-f5894bc5e0f7;;;;;;;;;
Données Lépidoptères du cadre d'acquisition de François Fournier;3;T;3cd814ac-f90e-4e5b-a5e0-35446cfa61f1;;;;;;;;;
Portuguese Lepidoptera records compiled by Martin Corley's database;3;T;0f7c7942-c5d2-435e-afba-97df549dbc19;;;;;;;;;
Observations.be - Orthoptera occurrences in Wallonia, Belgium;1;F;e5707b52-5222-4b64-8b6d-be7d1b279cb3;;;;;;;;;
RNF - Données de l'association Vivarmor Nature;3;F;f6b72f89-09c9-4805-be09-96198ab19050;;;;;;;;;
Grasshopper and Cricket (Orthoptera) and related species records from Britain and Ireland to 2007;1;T;cbd94c94-02ae-4c40-b5b5-ec7221f0482b;;;;;;;;;
Carnet B Centre - lot 2012;NA;F;7e6df30d-d8af-438d-bb01-5a528f6f4fa3;;;;;;;;;
Dataset of butterfly monitoring in Sierra Nevada (Spain);3;T;d7a3df60-e856-438b-851d-74653ef6c0d2;;;;;;;;;
Données SAPROX - Benoît Dodelin (mars 2014);2;F;f0613af8-9a0e-42c9-bdc7-1479521a26fd;;;;;;;;;
Données acquises dans le cadre de l'activité du bureau d'étude BIOTOPE (1994 - 2013);3;F;6f0b28dc-60cf-4378-b0c4-c6c6979ffcbc;;;;;;;;;
Monitoring data from the federal state Hesse (Germany);3;T;505cabc3-7550-4fd1-96dc-6d77d5ffc6de;;;;;;;;;
CPERC Combined Dataset;2;F;84fc98d0-972c-42c1-817f-038bf5e35c0f;;;;;;;;;
Données SAPROX - Ecole d'ingénieur de Purpan;2;T;a1b96bad-8ef6-4fcb-9653-fb74535a97e4;;;;;;;;;
Bees of Ireland;2;T;6eed5110-c7b8-11de-b279-d063ea754e15;;;;;;;;;
Observations faune et flore du Parc national des Écrins;3;F;d38d6841-de2a-4a16-b39e-495402d8592b;;;;;;;;;
Banco de Datos de la Biodiversidad de la Comunitat Valenciana;2;F;95e635d4-f762-11e1-a439-00145eb45e9a;;;;;;;;;
Aquatic Heteroptera Dataset;2;T;045d64f1-29e5-4b8e-a0e7-8d7bd6b4d1db;;;;;;;;;
Coléoptères saproxyliques échantillonnés dans le cadre des projets de recherche Irstea sur la biodiversité forestière;3;T;4d9e1a03-26a9-44da-b207-92cba0881881;;;;;;;;;
Orthoptera and Allied Insects of the British Isles data from iRecord;2;T;935bb261-f341-49db-9b4c-58d7fbac0386;;;;;;;;;
Coleoptera: Records for Kent;1;T;216952bd-4392-4f48-bd5f-322486e2b35c;;;;;;;;;
Dataset of occurrence and incidence of pine processionary moth in Andalusia (South Spain);3;T;bb30e03a-b746-49e4-bab9-decbf27abdf1;;;;;;;;;
Limnic freshwater benthic invertebrates biogeographical mapping/inventory NTNU University Museum;3;T;33591b80-0e31-480c-82ce-2f57211b10e6;;;;;;;;;
RHS Box tree moth (Cydalima perspectalis) monitoring;2;T;4fac6de9-a3ae-4334-809c-89d7a56e0d06;;;;;;;;;
Diptera records from iRecord for families not covered by a recording scheme;2;T;12934e15-749a-4df4-ab89-211c10573525;;;;;;;;;
Monitoreo de biodiversidad del Valle del Cerrejón;3;F;edaa3a20-1d73-42ee-85f2-19105c1c8525;;;;;;;;;
Miscellaneous records held by BIS;2;F;5a1b62b2-4a1f-4404-b481-87836564d4a5;;;;;;;;;
Swiss National Databank of Mayflies, Stoneflies and Caddiesflies;2;T;c597d497-6659-4d4b-bb79-40b9fd528f38;;;;;;;;;
Isle of Wight Notable Species;2;T;3c2fb76f-ed3f-40dc-bb40-21adbbd857d5;;;;;;;;;
Waarnemingen.be - Other insect occurrences in Flanders and the Brussels Capital Region, Belgium;1;F;27e9e069-2862-4183-bcec-1e1a7f74d3e7;;;;;;;;;
Bumblebees and butterflies in Norway;1;T;aea17af8-5578-4b04-b5d3-7adf0c5a1e60;;;;;;;;;
Leicestershire and Rutland Environmental Records Centre records 2010-2014;2;F;fd7cda6d-0bdb-44ed-9319-010c286d4633;;;;;;;;;
CEDaR Dragonflies of Ireland;3;T;0cf53e35-0fc6-47b7-ad47-4c57e16a3d7e;;;;;;;;;
Merseyside BioBank (unverified);1;F;0284b82d-cdd1-4d67-83bd-c8e42e988adb;;;;;;;;;
Cawthron Institute freshwater invertebrate data;3;T;18d0270e-899b-4a16-82f2-aa87d93bb1df;;;;;;;;;
RHS monitoring of native and naturalised plants and animals at its gardens and surrounding areas;2;F;6ec0db76-23c5-44b5-80f8-ad7e2aa17773;;;;;;;;;
Ground Beetle Recording Scheme - data verified via iRecord;2;T;fb1ff97d-b030-4a37-9fd4-5c65f12db810;;;;;;;;;
Northern Ireland Environment Agency (NIEA) Collated Species Records;3;F;1cd10854-e401-4822-ae48-adaeeedc647d;;;;;;;;;
Canberra Nature Map;2;T;c19a8f6e-c368-494d-942e-10108d8867a7;;;;;;;;;
SEWBReC Beetles (South East Wales);2;T;5e5ddab0-ffad-4dc1-b095-7d43c6b36bb6;;;;;;;;;
Données faune Indre Nature 2016-2017;4;F;7c2b4560-397c-4ad9-b245-3064b999450a;;;;;;;;;
Données bibliographiques et opportunistes Odonates issues du SIRF;1;T;6bbd9c2d-bde0-4f31-8aa2-287192c5c11b;;;;;;;;;
Base de données faune - DREAL Centre-Val de Loire. Polygones;2;F;/7b573d12-767c-4d2c-a434-651c4e7764e8;;;;;;;;;
Données Opie, Coléoptères saproxyliques;2;T;1da1b76c-2a46-4a5a-b4f2-e883b0cc1240;;;;;;;;;
BRERC Notable Species records within the last 10 years;2;T;f7fd7255-5be6-48cf-b76a-821cb84aa93f;;;;;;;;;
SEWBReC Diptera - True Flies (South East Wales);2;T;3968e868-da6f-4120-a0e0-47a5bb6cb5dc;;;;;;;;;
Weevil and Bark Beetle records via iRecord;2;T;6a9b060b-d419-4569-ad6f-5ebf4afbbcf3;;;;;;;;;
Biodiversitätsdatenbank Nationalpark Hohe Tauern;3;F;c7730a08-74b4-48cd-80a7-831a19ac660d;;;;;;;;;
SEWBReC Bees, Wasps and Ants (South East Wales);2;T;aa8fe1e4-10ec-4fb1-a520-c062b91cb788;;;;;;;;;
Données faune, flore et fonge du Conservatoire des espaces naturels du Nord Pas-de-Calais;3;F;80ec681f-e53c-4b7e-9e9c-3f50a0f3e269;;;;;;;;;
Saltabel - Orthoptera in Belgium;1;T;76cc7230-76b6-4763-9caf-22626b29c0a6;;;;;;;;;
Mayfly (Ephemeroptera) Data for Great Britain for 1906-2017;2;T;14e259a2-7985-4001-b799-1dc177067ab1;;;;;;;;;
Soldier Beetles and Allies Recording Scheme - data verified via iRecord;2;T;97f3592b-08ab-4adb-85df-1fb3bee7e2d3;;;;;;;;;
Données naturalistes faune du Conservatoire des espaces naturels Auvergne saisies avant le 18 février 2019.;2;T;36d9b785-0739-4ce9-82e7-cf5001c20104;;;;;;;;;
Monitoring data from the federal state Bavaria (Germany);3;T;3186cd3f-a7d0-4e64-bb60-630e20a47fa6;;;;;;;;;
Application INPN Espèces: Observations naturalistes, participatives et opportunistes, fondées sur des photographies;1;F;7247dc2e-b862-4555-b533-7701d183271b;;;;;;;;;
ECO-MED_2017_12_18;NA;NA;426a7529-7b53-4dab-b1b9-c6038c8d74ad;;;;;;;;;
Leicestershire and Rutland Environmental Records Centre records 2015-2019;2;F;c665b271-454b-4844-a039-426dac634908;;;;;;;;;
DREAL_PACA_2017_12_18;NA;NA;fda395aa-63c9-4b98-99e4-8d37651aa4f5;;;;;;;;;
Données de l'Observatoire de la Faune de Bourgogne;2;T;ce861efd-402f-4c10-a9fb-30ad0426bd15;;;;;;;;;
ALA species sightings and OzAtlas;1;F;84a649ce-ff81-420d-9c41-aa1de59e3766;;;;;;;;;
Système d’Information Régional sur la Faune et la Flore - FNE Centre-Val de Loire - Données saisies entre 01-01-2017 et 31-03-2018;2;F;663bae95-7134-4cb3-9085-e9c4afbf8fb0;;;;;;;;;
Suivi de l'expansion du Frelon asiatique (Vespa velutina) : données Frelon;2;T;9fd6c3da-88f7-4df7-9a3f-3f3f9c703998;;;;;;;;;
Observations occasionnelles Parc national des Pyrénées;2;F;c6d289cc-62ee-46e1-9367-515092eed533;;;;;;;;;
Invertebrate records from sites that are mainly across Scotland;2;F;94c74198-9eaf-4b43-a349-0b566dcd648a;;;;;;;;;
Invertebrate Site Register - England (1738-2005).;2;T;8359171b-9432-421e-88fc-56a55f1c098c;;;;;;;;;
Registros biológicos asociados al monitoreo de la diversidad de escarabajos en paisajes ganaderos de bosque 2013 - 2017;3;T;7fbc7c55-1468-4163-85dd-29aa7fa85254;;;;;;;;;
NINA insect database;3;F;346a9b13-5c96-4793-bcd7-d6614950e726;;;;;;;;;
Monitoring data from the federal state Rhineland-Palatinate (Germany);3;T;5d2f6092-6dcd-496b-abba-6d9e95ccc801;;;;;;;;;
Données de répartition de l’association FLAVIA A.D.E. acquises avec un financement public.;3;F;601540ae-e975-48b7-87a8-a4a663f10e68;;;;;;;;;
Parc_National_des_Ecrins_2017_12_18;NA;NA;ae89759c-c8f0-436f-bcc9-ef67874e2e30;;;;;;;;;
Meetnetten.be - Transects for butterflies in Flanders, Belgium;3;T;63938753-1fec-4c08-ae39-e9f8a6576521;;;;;;;;;
Suivi Temporel des Libellules (STELI);2;T;c709bf36-4964-4771-90f0-c6ba4b351620;;;;;;;;;
Chrysomelidae beetle data from iRecord;2;T;05835387-a9e6-403a-9c61-02632467ff21;;;;;;;;;
Xerces Society - Bumble Bee Watch;1;T;f1a4ce9a-97cd-4d35-bf5e-561f2f1c6d91;;;;;;;;;
Carabidae of the Carpathians;NA;T;cd629c30-30b1-11de-b170-b8a03c50a862;;;;;;;;;
National Trust for Scotland Species Records;2;F;efb3f1a0-43d5-4ae6-a58f-4fd61043756a;;;;;;;;;
Fourmis de France métropolitaine : données AntArea;2;T;17167110-dddf-4c70-adde-2ecc46829521;;;;;;;;;
Occurrences de vecteurs de maladies recensées à l'Hôpital de Mènontin;2;T;a542f2ae-f48e-48eb-95a4-db7b6cc83e99;;;;;;;Waarnemingen: Butterfly, Hymenoptera, Orthoptera, Hempitera, non native;;
NSW BioNet Atlas;2;F;0645ccdb-e001-4ab0-9729-51f1755e007e;;;;;;;;;
Tachinid Recording Scheme - GB and Ireland records;2;T;27e416d9-ac57-48a6-ad78-55990f7af998;;;;;;;;;
SEWBReC Dragonflies and Damselflies (South East Wales);2;T;0ee9e63e-8eda-4bb1-aab1-9a29232cf437;;;;;;;;;
Collated IRTU Freshwater Surveys;2;T;70921b14-8ee5-47a0-aea4-679ac21e8196;;;;;;;;;
OPIE_National_2017_12_18;NA;NA;7715f20e-bafd-47eb-a4e0-86dce0e8d567;;;;;;;;;
Merseyside BioBank Active Naturalists (unverified);2;F;547f2b71-ba25-4254-aaf1-4823600e7784;;;;;;;;;
Sawfly (Symphyta) records from iRecord;2;T;b650365b-6ff5-403b-916a-f1c4a176bb45;;;;;;;;;
Données Entomologiques A. HORELLOU 1988-2018;NA;NA;4e0ae4ef-4f11-4cfe-9f3a-3c8a2465d205;;;;;;;;;
RNF - Données du Conservatoire d'espaces naturel Franche-Comté;2;F;85845a0d-b78a-43c9-961c-3f718ec1e086;;;;;;;;;
Derek Lott Coleoptera Dataset;2;T;ec148118-3936-4e83-a2ca-a1e19529fa92;;;;;;;;;
RECORD Odonata Data;2;T;4769b578-3ec1-4f45-9090-ea9b2422e3db;;;;;;;;;
Mise en place d'un suivi scientifique des rhopalocères pour la production d’indicateurs de biodiversité;3;T;5cb36cde-7306-4e47-a904-d03419ed83d7;;;;;;;;;
Bob Merritt invertebrate records for VCs 72-75;3;F;da5f7bf0-c72a-4087-b116-885fbdd10c03;;;;;;;;;
Données de la structure Naturessonne provenant de la base de donnée du SINP Île-de-France CETTIA;2;F;732b8816-1367-4cb2-80f9-343063ed3442;;;;;;;;;
Scottish river macro-invertebrate records from 2007 collected by SEPA;3;T;70b7c7b1-fbea-4771-8b63-ee1c7fae393d;;;;;;;;;
Alterra (NL) - Comparison of entomofauna in four different habitats;3;F;dc55fd8a-47af-47fe-a59e-a2890c72fed1;;;;;;;;;
"Natagriwal ; Observations made from operations within Natura 2000 habitats and other semi-natural areas";3;T;ea410929-015a-4093-9c7e-7be2482668c9;;;;;;;;;
Finds of Lepidoptera species in the steppe zone of Ukraine according to some literature resources;4;T;2ccf651c-2974-4ac5-807c-dd43cb7de973;;;;;;;;;
Israeli Butterfly Monitoring Scheme (BMS-IL);2 o 3;T;647ae6f8-8e26-4189-b448-02b45b7ad884;;;;;;;;;
CarNET B - Lot 2013;2;F;43eb9aad-9db1-4691-b1e2-ec57bfbbea22;;;;;;;;;
